CUSTOMER_ID,TRUCK_ID,TEMPERATURE,HUMIDITY,LOAD_TYPE,LON,LAT,TIMESTAMP
C0001,TRC00001,15,37,FOOD,-80.0019,37.3185,2019-02-13 11:40:00
C0002,TRC00001,13,50,MEDICAL,-80.0009,33.1854,2019-02-13 11:40:00
C0003,TRC00001,16,45,MEDICAL,-80.0086,33.194,2019-02-13 11:40:00
C0004,TRC00001,7,63,MEDICAL,-80.0109,37.2329,2019-02-13 11:40:00
C0005,TRC00001,11,42,FOOD,-80.0033,35.9209,2019-02-13 11:40:00
C0006,TRC00001,3,33,MEDICAL,-80.0078,37.2326,2019-02-13 11:40:00
C0007,TRC00001,6,55,MEDICAL,-80.0168,35.9253,2019-02-13 11:40:00
C0008,TRC00001,15,67,ELECTRONICS,-80.0158,35.9315,2019-02-13 11:40:00
C0009,TRC00001,22,44,ELECTRONICS,-80.0008,35.9543,2019-02-13 11:40:00
C0010,TRC00001,21,27,FOOD,-80.004,35.9558,2019-02-13 11:40:00
C0001,TRC00002,30,34,MEDICAL,-80.0055,35.9572,2019-02-13 11:40:00
C0002,TRC00002,23,34,ELECTRONICS,-80.0092,35.9555,2019-02-13 11:40:00
C0003,TRC00002,19,64,MEDICAL,-80.0052,32.7985,2019-02-13 11:40:00
C0004,TRC00002,8,27,FOOD,-80.0002,37.2378,2019-02-13 11:40:00
C0005,TRC00002,13,60,MEDICAL,-80.008,37.2322,2019-02-13 11:40:00
C0006,TRC00002,8,73,MEDICAL,-80.0151,32.8665,2019-02-13 11:40:00
C0007,TRC00002,8,60,ELECTRONICS,-80.0147,32.8804,2019-02-13 11:40:00
C0008,TRC00002,4,54,MEDICAL,-80.0138,32.878,2019-02-13 11:40:00
C0009,TRC00002,11,73,MEDICAL,-80.0137,32.8783,2019-02-13 11:40:00
C0010,TRC00002,13,34,MEDICAL,-80.005,32.8477,2019-02-13 11:40:00
C0001,TRC00003,3,68,MEDICAL,-80.0057,32.8091,2019-02-13 11:40:00
C0002,TRC00003,32,70,MEDICAL,-80.0013,32.9683,2019-02-13 11:40:00
C0003,TRC00003,4,35,ELECTRONICS,-80.0084,32.7859,2019-02-13 11:40:00
C0004,TRC00003,26,30,MEDICAL,-80.0094,35.9622,2019-02-13 11:40:00
C0005,TRC00003,28,53,FOOD,-80.01,36.0059,2019-02-13 11:40:00
C0006,TRC00003,11,58,FOOD,-86.5783,36.7221,2019-02-13 11:40:00
C0007,TRC00003,26,48,MEDICAL,-86.5574,36.6682,2019-02-13 11:40:00
C0008,TRC00003,18,29,ELECTRONICS,-86.5225,36.6037,2019-02-13 11:40:00
C0009,TRC00003,1,56,FOOD,-86.5146,36.5733,2019-02-13 11:40:00
C0010,TRC00003,3,72,MEDICAL,-86.7831,36.0424,2019-02-13 11:40:00
C0001,TRC00004,10,73,ELECTRONICS,-86.0422,36.525,2019-02-13 11:40:00
C0002,TRC00004,10,31,FOOD,-86.5116,36.1832,2019-02-13 11:40:00
C0003,TRC00004,14,74,MEDICAL,-86.4364,36.391,2019-02-13 11:40:00
C0004,TRC00004,2,70,ELECTRONICS,-86.5122,36.1891,2019-02-13 11:40:00
C0005,TRC00004,7,59,FOOD,-86.4458,36.3926,2019-02-13 11:40:00
C0006,TRC00004,34,42,MEDICAL,-86.5149,36.1917,2019-02-13 11:40:00
C0007,TRC00004,30,31,ELECTRONICS,-86.5122,36.1798,2019-02-13 11:40:00
C0008,TRC00004,30,56,FOOD,-86.446,36.3889,2019-02-13 11:40:00
C0009,TRC00004,17,57,MEDICAL,-86.5181,36.2046,2019-02-13 11:40:00
