WAREHOUSE_ID,WAREHOUSE_TYPE,LON,LAT
W0001,FOOD,-95,34
W0005,FOOD,-85,32
W0010,FOOD,-80,36
W0014,FOOD,-94,32
W0018,FOOD,-90,35
W0019,FOOD,-100,34
W0020,FOOD,-79,35
W0022,FOOD,-82,35
W0024,FOOD,-100,37
W0025,FOOD,-90,35
W0026,FOOD,-87,39
W0027,FOOD,-81,33
W0029,FOOD,-92,33
W0030,FOOD,-100,37
W0031,FOOD,-94,35
W0032,FOOD,-96,38
W0033,FOOD,-84,32
W0034,FOOD,-89,32
W0035,FOOD,-82,33
W0036,FOOD,-99,36
W0037,FOOD,-99,38
W0038,FOOD,-99,37
W0039,FOOD,-81,40
W0040,FOOD,-95,31
W0041,FOOD,-94,31
W0042,FOOD,-90,31
W0043,FOOD,-100,32
W0044,FOOD,-94,38
W0045,FOOD,-81,32
W0046,FOOD,-88,36
W0047,FOOD,-82,35
W0048,FOOD,-89,36
W0049,FOOD,-98,40
W0050,FOOD,-83,34
W0051,FOOD,-91,39
W0052,FOOD,-102,37
W0053,FOOD,-82,39
W0054,FOOD,-95,34
W0055,FOOD,-81,34
W0056,FOOD,-85,39
W0057,FOOD,-91,36
W0058,FOOD,-94,33
W0059,FOOD,-99,35
W0060,FOOD,-91,38
W0061,FOOD,-95,35
W0062,FOOD,-79,33
W0063,FOOD,-87,39
W0064,FOOD,-89,32
W0065,FOOD,-92,37
W0066,FOOD,-98,39
W0067,FOOD,-80,33
W0068,FOOD,-79,37
W0069,FOOD,-97,32
W0070,FOOD,-92,40
W0071,FOOD,-84,33
W0072,FOOD,-95,32
W0073,FOOD,-91,38
W0074,FOOD,-86,31
W0075,FOOD,-79,36
W0076,FOOD,-79,35
W0077,FOOD,-83,34
W0078,FOOD,-81,36
W0079,FOOD,-98,31
W0080,FOOD,-88,38
W0081,FOOD,-80,37
W0082,FOOD,-100,40
W0083,FOOD,-83,39
W0084,FOOD,-96,38
W0085,FOOD,-91,31
W0086,FOOD,-102,34
W0087,FOOD,-83,33
W0088,FOOD,-79,32
W0089,FOOD,-85,32
W0090,FOOD,-88,34
W0091,FOOD,-87,39
W0092,FOOD,-101,36
W0093,FOOD,-87,37
W0094,FOOD,-80,32
W0095,FOOD,-100,37
W0096,FOOD,-85,39
W0097,FOOD,-92,37
W0098,FOOD,-101,37
W0099,FOOD,-95,33
W0100,FOOD,-85,32
W0101,FOOD,-79,38
W0102,FOOD,-85,36
W0103,FOOD,-95,40
W0104,FOOD,-85,40
W0105,FOOD,-94,34
W0106,FOOD,-88,31
W0107,FOOD,-79,33
W0108,FOOD,-91,40
W0109,FOOD,-84,36
W0110,FOOD,-85,39
W0111,FOOD,-82,31
W0112,FOOD,-86,36
W0113,FOOD,-92,32
W0114,FOOD,-91,34
W0115,FOOD,-91,40
W0116,FOOD,-97,34
W0117,FOOD,-84,33
W0118,FOOD,-88,36
W0119,FOOD,-99,32
W0120,FOOD,-89,31
W0121,FOOD,-85,40
W0122,FOOD,-96,36
W0123,FOOD,-102,36
W0124,FOOD,-99,34
W0125,FOOD,-92,35
W0126,FOOD,-79,33
W0127,FOOD,-99,36
W0128,FOOD,-91,33
W0129,FOOD,-85,33
W0130,FOOD,-91,32
W0131,FOOD,-86,39
W0132,FOOD,-85,33
W0133,FOOD,-96,40
W0134,FOOD,-98,34
W0135,FOOD,-88,36
W0136,FOOD,-85,38
W0137,FOOD,-90,34
W0138,FOOD,-93,40
W0139,FOOD,-83,38
W0140,FOOD,-89,34
W0141,FOOD,-85,40
W0142,FOOD,-90,40
W0143,FOOD,-97,38
W0144,FOOD,-100,39
W0145,FOOD,-96,37
W0146,FOOD,-93,38
W0147,FOOD,-86,35
W0148,FOOD,-80,38
W0149,FOOD,-81,38
W0150,FOOD,-83,32
W0151,FOOD,-82,35
W0152,FOOD,-79,33
W0153,FOOD,-96,31
W0154,FOOD,-86,36
W0155,FOOD,-81,31
W0156,FOOD,-97,39
W0157,FOOD,-90,36
W0158,FOOD,-98,39
W0159,FOOD,-96,40
W0160,FOOD,-102,39
W0161,FOOD,-91,38
W0162,FOOD,-81,38
W0163,FOOD,-102,35
W0164,FOOD,-92,36
W0165,FOOD,-86,38
W0166,FOOD,-89,33
W0167,FOOD,-87,32
W0168,FOOD,-79,34
W0169,FOOD,-96,35
W0170,FOOD,-92,35
W0171,FOOD,-94,39
W0172,FOOD,-95,36
W0173,FOOD,-97,32
W0174,FOOD,-79,35
W0175,FOOD,-90,36
W0176,FOOD,-102,39
W0177,FOOD,-80,35
W0178,FOOD,-87,36
W0179,FOOD,-92,33
W0180,FOOD,-79,32
W0181,FOOD,-95,38
W0182,FOOD,-85,39
W0183,FOOD,-100,32
W0184,FOOD,-82,34
W0185,FOOD,-90,31
W0186,FOOD,-93,36
W0187,FOOD,-79,33
W0188,FOOD,-94,31
W0189,FOOD,-82,31
W0190,FOOD,-99,40
W0191,FOOD,-88,35
W0192,FOOD,-90,36
W0193,FOOD,-101,31
W0194,FOOD,-98,31
W0195,FOOD,-101,35
W0196,FOOD,-97,33
W0197,FOOD,-80,39
W0198,FOOD,-97,37
W0199,FOOD,-92,37
W0200,FOOD,-87,39
W0201,FOOD,-88,38
W0202,FOOD,-87,40
W0203,FOOD,-79,31
W0204,FOOD,-85,34
W0205,FOOD,-102,37
W0206,FOOD,-96,40
